Kode	Tekst
DF0114	Multiinfarktdemens med blandede symptomer
DF012	Subkortikal vaskulær demens
DF0120	Subkortikal vaskulær demens uden andre symptomer
DF0121	Subkortikal vaskulær demens med paranoide symptomer
DF0122	Subkortikal vaskulær demens med hallucinationer
DF0123	Subkortikal vaskulær demens med depressive symptomer
DF0124	Subkortikal vaskulær demens med blandede symptomer
DF013	Blandet kortikal og subkortikal vaskulær demens
DF0130	Blandet kortikal og subkortikal vaskulær demens uden andre symptomer
DF0131	Blandet kortikal og subkortikal vaskulær demens med paranoide symptomer
DF0132	Blandet kortikal og subkortikal vaskulær demens med hallucinationer
DF0133	Blandet kortikal og subkortikal vaskulær demens med depressive symptomer
DF0134	Blandet kortikal og subkortikal vaskulær demens med blandede symptomer
DF018	Anden vaskulær demens
DF0180	Anden vaskulær demens uden andre symptomer
DF0181	Anden vaskulær demens med paranoide symptomer
DF0182	Anden vaskulær demens med hallucinationer
DF0183	Anden vaskulær demens med depressive symptomer
DF0184	Anden vaskulær demens med blandede symptomer
DF019	Vaskulær demens UNS
DF0190	Vaskulær demens uden andre symptomer UNS
DF0191	Vaskulær demens med paranoide symptomer UNS
DF0192	Vaskulær demens med hallucinationer UNS
DF0193	Vaskulær demens med depressive symptomer UNS
DF0194	Vaskulær demens med blandede symptomer UNS
DF02	Demens ved andre sygdomme klassificeret andetsteds
DF020	Demens ved Picks sygdom
DF0200	Demens ved Picks sygdom uden andre symptomer
DF0201	Demens ved Picks sygdom med paranoide symptomer
DF0202	Demens ved Picks sygdom med hallucinationer
DF0203	Demens ved Picks sygdom med depressive symptomer
DF0204	Demens ved Picks sygdom med blandede symptomer
DF021	Demens ved Creutzfeldt-Jakobs sygdom
DF0210	Demens ved Creutzfeldt-Jakobs sygdom uden andre symptomer
DF0211	Demens ved Creutzfeldt-Jakobs sygdom med paranoide symptomer
DF0212	Demens ved Creutzfeldt-Jakobs sygdom med hallucinationer
DF0213	Demens ved Creutzfeldt-Jakobs sygdom med depressive symptomer
DF0214	Demens ved Creutzfeldt-Jakobs sygdom med blandede symptomer
DF022	Demens ved Huntingtons sygdom
DF0220	Demens ved Huntingtons sygdom uden andre symptomer
DF0221	Demens ved Huntingtons sygdom med paranoide symptomer
DF0222	Demens ved Huntingtons sygdom med hallucinationer
DF0223	Demens ved Huntingtons sygdom med depressive symptomer
DF0224	Demens ved Huntingtons sygdom med blandede symptomer
DF023	Demens ved Parkinsons sygdom
DF0230	Demens ved Parkinsons sygdom uden andre symptomer
DF0231	Demens ved Parkinsons sygdom med paranoide symptomer
DF0232	Demens ved Parkinsons sygdom med hallucinationer
DF0233	Demens ved Parkinsons sygdom med depressive symptomer
DF0234	Demens ved Parkinsons sygdom med blandede symptomer
DF024	Demens ved HIV-sygdom
DF0240	Demens ved HIV-sygdom uden andre symptomer
DF0241	Demens ved HIV-sygdom med paranoide symptomer
DF0242	Demens ved HIV-sygdom med hallucinationer
DF0243	Demens ved HIV-sygdom med depressive symptomer
DF0244	Demens ved HIV-sygdom med blandede symptomer
DF028	Demens ved anden sygdom klassificeret andetsteds
DF0280	Demens uden andre symptomer ved anden sygdom
DF0281	Demens med paranoide symptomer ved anden sygdom
DF0282	Demens med hallucinationer ved anden sygdom
DF0283	Demens med depressive symptomer ved anden sygdom
DF0284	Demens med blandede symptomer ved anden sygdom
DF03	Ikke specificeret demens
DF039	Demens UNS
DF0390	Demens uden andre symptomer UNS
DF0391	Demens med paranoide symptomer UNS
DF0392	Demens med hallucinationer UNS
DF0393	Demens med depressive symptomer UNS
DF0394	Demens med blandede symptomer UNS
DF04	Organisk amnestisk syndrom ikke forårsaget af alkohol eller psykoaktive stoffer
DF049	Organisk amnestisk syndrom, ikke fremkaldt af psykoaktive stoffer
DF05	Delir, ikke fremkaldt af alkohol eller psykoaktive stoffer
DF050	Delir uden demens
DF051	Delir ved demens
DF058	Andet delir
DF059	Delir UNS
DF06	Andre psykiske lidelser som følge af hjerneskade, hjernedysfunktion eller legemlig sygdom
DF060	Organisk hallucinose
DF061	Organisk kataton sindslidelse
DF062	Organisk paranoid eller skizofreniform sindslidelse
DF063	Organisk affektiv sindslidelse
DF0630	Organisk manisk sindslidelse
DF0631	Organisk bipolar affektiv sindslidelse
DF0632	Organisk depressiv sindslidelse
DF0633	Organisk affektiv blandingstilstand
DF064	Organisk angsttilstand
DF065	Organisk dissociativ tilstand
DF066	Organisk emotionel instabilitet og asteni
DF067	Organisk kognitiv forstyrrelse af lettere grad
DF0670	Organisk kognitiv forstyrrelse af lettere grad ikke associeret med somatisk sygdom
DF0671	Organisk kognitiv forstyrrelse af lettere grad associeret med somatisk sygdom
DF068	Anden organisk psykisk lidelse
DF069	Organisk psykisk lidelse UNS
DF07	Personligheds- og adfærdsforstyrrelser forårsaget af sygdom, beskadigelse eller dysfunktion af hjernen
DF070	Organisk personlighedsforstyrrelse
DF071	Postencefalitisk syndrom
DF072	Posttraumatisk hjernesyndrom
DF078	Anden organisk personligheds- eller adfærdsforstyrrelse
DF079	Organisk personligheds- eller adfærdsforstyrrelse UNS
DF09	Ikke specificeret organisk eller symptomatisk mental lidelse eller personlighedsforstyrrelse
DF099	Organisk eller symptomatisk mental lidelse eller personlighedsforstyrrelse UNS
	Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af psykoaktive stoffer [DF10-DF19]
DF10	Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af alkohol
DF100	Akut alkoholintoksikation
DF1000	Akut ukompliceret alkoholintoksikation
DF1001	Akut alkoholintoksikation med fysisk traume
DF1002	Akut alkoholintoksikation med andre somatiske komplikationer
DF1003	Akut alkoholintoksikation med delir
DF1004	Akut alkoholintoksikation med perceptionsforvrængninger
DF1005	Akut alkoholintoksikation med koma
DF1006	Akut alkoholintoksikation med kramper
DF1007	Akut alkoholintoksikation med patologisk rus
DF101	Skadelig brug af alkohol
DF102	Alkoholafhængighedssyndrom
DF1020	Alkoholafhængighedssyndrom men afholdende
DF1021	Alkoholafhængighedssyndrom men afholdende i beskyttet miljø
DF1022	Alkoholafhængighedssyndrom i vedligeholdelses- eller substitutionsbehandling
DF1023	Alkoholafhængighedssyndrom men afholdende under aversiv medicinsk behandling
DF1024	Alkoholafhængighedssyndrom aktivt brugende
DF1025	Alkoholafhængighedssyndrom med kontinuerligt brug
DF1026	Alkoholafhængighedssyndrom med episodisk brug
DF103	Abstinenstilstand som følge af alkoholbrug
DF1030	Abstinenstilstand som følge af alkoholbrug uden kramper
DF1031	Abstinenstilstand forårsaget af alkoholbrug med kramper
DF104	Delirøs abstinenstilstand som følge af alkoholbrug
DF1040	Delirøs abstinenstilstand som følge af alkoholbrug uden kramper
DF1041	Delirøs abstinenstilstand forårsaget af alkoholbrug med kramper
DF105	Alkoholpsykose
DF1050	Skizofrenilignende alkoholpsykose
DF1051	Paranoid alkoholpsykose
DF1052	Hallucinatorisk alkoholpsykose
DF1053	Polymorf alkoholpsykose
DF1054	Alkoholpsykose med depressive symptomer
DF1055	Alkoholpsykose med maniske symptomer
DF1056	Alkoholpsykose med blandede symptomer
DF106	Amnestisk syndrom som følge af alkoholbrug
DF107	Sen psykotisk eller residual tilstand forårsaget af alkoholbrug
DF1070	Flashbacks som følge af alkoholbrug
DF1071	Personligheds- eller adfærdsforstyrrelse forårsaget af alkoholbrug
DF1072	Residual affektiv sindslidelse som følge af alkoholbrug
DF1073	Demens som følge af alkoholbrug
DF1074	Anden vedvarende kognitiv forstyrrelse som følge af alkoholbrug
DF1075	Sent indsættende psykotisk tilstand som følge af alkoholbrug
DF108	Anden psykisk lidelse eller adfærdsforstyrrelse forårsaget af alkoholbrug
DF109	Psykisk lidelse eller adfærdsforstyrrelse forårsaget af alkoholbrug UNS
DF11	Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af opioider
DF110	Akut opioidintoksikation
DF1100	Akut ukompliceret opioidintoksikation
DF1101	Akut opioidintoksikation med fysisk traume
DF1102	Akut opioidintoksikation med andre somatiske komplikationer
DF1103	Akut opioidintoksikation med delir
DF1104	Akut opioidintoksikation med perceptionsforvrængninger
DF1105	Akut opioidintoksikation med koma
DF1106	Akut opioidintoksikation med kramper
DF111	Skadelig brug af opioider
DF112	Opioidafhængighedssyndrom
DF1120	Opioidafhængighedssyndrom men afholdende
DF1121	Opioidafhængighedssyndrom men afholdende i beskyttet miljø
DF1122	Opioidafhængighedssyndrom i vedligeholdelses- eller substitutionsbehandling
DF1123	Opioidafhængighedssyndrom men afholdende under aversiv medikamentel behandling
DF1124	Opioidafhængighedssyndrom aktivt brugende
DF1125	Opioidafhængighedssyndrom med kontinuerligt brug
DF1126	Opioidafhængighedssyndrom med episodisk brug
DF113	Abstinenstilstand som følge af opioidbrug
DF1130	Abstinenstilstand som følge af opioidbrug uden kramper
DF1131	Abstinenstilstand forårsaget af opioidbrug med kramper
DF114	Delirøs abstinenstilstand som følge af opioidbrug
DF1140	Delirøs abstinenstilstand som følge af opioidbrug uden kramper
DF1141	Delirøs abstinenstilstand forårsaget af opioidbrug med kramper
DF115	Opioidpsykose
DF1150	Skizofrenilignende opioidpsykose
DF1151	Paranoid opioidpsykose
DF1152	Hallucinatorisk opioidpsykose
DF1153	Polymorf opioidpsykose
DF1154	Opioidpsykose med depressive symptomer
DF1155	Opioidpsykose med maniske symptomer
DF1156	Opioidpsykose med blandede symptomer
DF117	Sen psykotisk eller residual tilstand forårsaget af opioidbrug
DF1170	Flashbacks som følge af opioidbrug
DF1171	Personligheds- eller adfærdsforstyrrelse forårsaget af opioidbrug
DF1172	Residual affektiv sindslidelse som følge af opioidbrug
DF1173	Demens som følge af opioidbrug
DF1174	Anden vedvarende kognitiv forstyrrelse som følge af opioidbrug
DF1175	Sent indsættende psykotisk tilstand som følge af opioidbrug
DF118	Anden psykisk lidelse eller adfærdsforstyrrelse forårsaget af opioidbrug
DF119	Psykisk lidelse eller adfærdsforstyrrelse forårsaget af opioidbrug UNS
DF12	Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af cannabis
DF120	Akut cannabisintoksikation
DF1200	Akut ukompliceret cannabisintoksikation
DF1201	Akut cannabisintoksikation med fysisk traume
DF1202	Akut cannabisintoksikation med andre somatiske komplikationer
DF1203	Akut cannabisintoksikation med delir
DF1204	Akut cannabisintoksikation med perceptionsforvrængninger
DF1205	Akut cannabisintoksikation med koma
DF1206	Akut cannabisintoksikation med kramper
DF121	Skadelig brug af cannabis
DF122	Cannabisafhængighedssyndrom
DF1220	Cannabisafhængighedssyndrom men afholdende
DF1221	Cannabisafhængighedssyndrom men afholdende i beskyttet miljø
DF1222	Cannabisafhængighedssyndrom i vedligeholdelses- eller substitutionsbehandling
DF1223	Cannabisafhængighedssyndrom men afholdende under aversiv medikamentel behandling
DF1224	Cannabisafhængighedssyndrom aktivt brugende
DF1225	Cannabisafhængighedssyndrom med kontinuerligt brug
DF1226	Cannabisafhængighedssyndrom med episodisk brug
DF125	Cannabispsykose
DF1250	Skizofrenilignende cannabispsykose
DF1251	Paranoid cannabispsykose
DF1252	Hallucinatorisk cannabispsykose
DF1253	Polymorf cannabispsykose
DF1254	Cannabispsykose med depressive symptomer
DF1255	Cannabispsykose med maniske symptomer
DF1256	Cannabispsykose med blandede symptomer
DF127	Sen psykotisk eller residual tilstand forårsaget af cannabisbrug
DF1270	Flashbacks som følge af cannabisbrug
DF1271	Personligheds- eller adfærdsforstyrrelse forårsaget af cannabisbrug
DF1272	Residual affektiv sindslidelse som følge af cannabisbrug
DF1273	Demens som følge af cannabisbrug
DF1274	Anden vedvarende kognitiv forstyrrelse som følge af cannabisbrug
DF1275	Sent indsættende psykotisk tilstand som følge af cannabisbrug
DF128	Anden psykisk lidelse eller adfærdsforstyrrelse forårsaget af cannabisbrug
DF129	Psykisk lidelse eller adfærdsforstyrrelse forårsaget af cannabisbrug UNS
DF13	Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af sedativa eller hypnotika
DF130	Akut intoksikation med sedativa eller hypnotika
DF1300	Akut ukompliceret intoksikation med sedativa eller hypnotika
DF1301	Akut intoksikation med sedativa eller hypnotika med fysisk traume
DF1302	Akut intoksikation med sedativa eller hypnotika med andre somatiske komplikationer
DF1303	Akut intoksikation med sedativa eller hypnotika med delir
DF1304	Akut intoksikation med sedativa eller hypnotika med perceptionsforvrængninger
DF1305	Akut intoksikation med sedativa eller hypnotika med koma
DF1306	Akut intoksikation med sedativa eller hypnotika med kramper
DF131	Skadelig brug af sedativa eller hypnotika
DF132	Afhængighedssyndrom ved brug af sedativa eller hypnotika
DF1320	Afhængighedssyndrom ved brug af sedativa eller hypnotika men afholdende
DF1321	Afhængighedssyndrom ved brug af sedativa eller hypnotika men afholdende i beskyttet miljø
DF1322	Afhængighedssyndrom ved brug af sedativa eller hypnotika i vedligeholdelses- eller substitutionsbehandling
DF1323	Afhængighedssyndrom ved brug af sedativa eller hypnotika men afholdende under aversiv medikamentel behandling
DF1324	Afhængighedssyndrom ved brug af sedativa eller hypnotika aktivt brugende
DF1325	Afhængighedssyndrom ved brug af sedativa eller hypnotika med kontinuerligt brug
DF1326	Afhængighedssyndrom ved brug af sedativa eller hypnotika med episodisk brug
DF133	Abstinenstilstand som følge af brug af sedativa eller hypnotika
DF1330	Abstinenstilstand som følge af brug af sedativa eller hypnotika uden kramper
DF1331	Abstinenstilstand forårsaget af brug af sedativa eller hypnotika med kramper
DF134	Delirøs abstinenstilstand som følge af brug af sedativa eller hypnotika
DF1340	Delirøs abstinenstilstand som følge af brug af sedativa eller hypnotika uden kramper
DF1341	Delirøs abstinenstilstand forårsaget af brug af sedativa eller hypnotika med kramper
DF135	Psykotisk tilstand ved brug af sedativa eller hypnotika
DF1350	Skizofrenilignende psykotisk tilstand ved brug af sedativa eller hypnotika
DF1351	Paranoid psykotisk tilstand ved brug af sedativa eller hypnotika
DF1352	Hallucinatorisk psykotisk tilstand ved brug af sedativa eller hypnotika
DF1353	Polymorf psykotisk tilstand ved brug af sedativa eller hypnotika
DF1354	Psykotisk tilstand med depressive symptomer ved brug af sedativa eller hypnotika
DF1355	Psykotisk tilstand med maniske symptomer ved brug af sedativa eller hypnotika
DF1356	Blandet psykotisk tilstand ved brug af sedativa eller hypnotika
DF137	Sen psykotisk eller residual tilstand som følge af brug af sedativa eller hypnotika
DF1370	Flashbacks som følge af brug af sedativa eller hypnotika
DF1371	Personligheds- eller adfærdsforstyrrelser som følge af brug af sedativa eller hypnotika
DF1372	Residual affektiv sindslidelse som følge af brug af sedativa eller hypnotika
DF1373	Demens som følge af brug af sedativa eller hypnotika
DF1374	Anden vedvarende kognitiv forstyrrelse som følge af brug af sedativa eller hypnotika
DF1375	Sent indsættende psykotisk tilstand som følge af brug af sedativa eller hypnotika
DF138	Anden psykisk lidelse eller adfærdsforstyrrelse som følge af brug af sedativa eller hypnotika
DF139	Psykisk lidelse eller adfærdsforstyrrelse som følge af brug af sedativa eller hypnotika UNS
DF14	Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af kokain
DF140	Akut kokainintoksikation
DF1400	Akut ukompliceret kokainintoksikation
DF1401	Akut kokainintoksikation med fysisk traume
DF1402	Akut kokainintoksikation med andre somatiske komplikationer
DF1403	Akut kokainintoksikation med delirøs tilstand
DF1404	Akut kokainintoksikation med perceptionsforvrængninger
DF1405	Akut kokainintoksikation med koma
DF1406	Akut kokainintoksikation med kramper
DF141	Skadelig brug af kokain
DF142	Afhængighedssyndrom ved brug af kokain
DF1420	Afhængighedssyndrom ved brug af kokain men afholdende
DF1421	Afhængighedssyndrom ved brug af kokain men afholdende i beskyttet miljø
DF1422	Afhængighedssyndrom ved brug af kokain i vedligeholdelses- eller substitutionsbehandling
DF1423	Afhængighedssyndrom ved brug af kokain men afholdende under aversiv medikamentel behandling
DF1424	Afhængighedssyndrom ved brug af kokain aktivt brugende
DF1425	Afhængighedssyndrom ved brug af kokain med kontinuerligt brug
DF1426	Afhængighedssyndrom ved brug af kokain med episodisk brug
DF143	Abstinenstilstand som følge af brug af kokain
DF1430	Abstinenstilstand som følge af brug af kokain uden kramper
DF1431	Abstinenstilstand forårsaget af brug af kokain med kramper
DF145	Kokainpsykose
DF1450	Skizofrenilignende kokainpsykose
DF1451	Paranoid kokainpsykose
DF1452	Hallucinatorisk kokainpsykose
DF1453	Polymorf kokainpsykose
DF1454	Kokainpsykose med depressive symptomer
DF1455	Kokainpsykose med maniske symptomer
DF1456	Kokainpsykose med blandede symptomer
DF147	Sen psykotisk eller residual tilstand forårsaget af kokainbrug
DF1470	Flashbacks som følge af kokainbrug
DF1471	Personligheds- eller adfærdsforstyrrelse forårsaget af kokainbrug
DF1472	Residual affektiv sindslidelse som følge af kokainbrug
DF1473	Demens som følge af kokainbrug
DF1474	Anden vedvarende kognitiv forstyrrelse som følge af kokainbrug
DF1475	Sent indsættende psykotisk tilstand som følge af kokainbrug
DF148	Anden psykisk lidelse eller adfærdsforstyrrelse forårsaget af kokainbrug
DF149	Psykisk lidelse eller adfærdsforstyrrelse forårsaget af kokainbrug UNS
DF15	Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af andre centralstimulerende stoffer
DF150	Akut intoksikation med andet centralstimulerende stof
DF1500	Akut ukompliceret intoksikation med andet centralstimulerende stof
DF1501	Akut intoksikation med andet centralstimulerende stof med fysisk traume
DF1502	Akut intoksikation med andet centralstimulerende stof med andre somatiske komplikationer
DF1503	Akut intoksikation med andet centralstimulerende stof med delir
DF1504	Akut intoksikation med andet centralstimulerende stof med perceptionsforvrængninger
DF1505	Akut intoksikation med andet centralstimulerende stof med koma
DF1506	Akut intoksikation med andet centralstimulerende stof med kramper
DF151	Skadelig brug af andet centralstimulerende stof
DF152	Afhængighedssyndrom ved brug af andet centralstimulerende stof
DF1520	Afhængighedssyndrom ved brug af andet centralstimulerende stof men afholdende
DF1521	Afhængighedssyndrom ved brug af andet centralstimulerende stof men afholdende i beskyttet miljø
DF1522	Afhængighedssyndrom ved brug af andet centralstimulerende stof i vedligeholdelses- eller substitutionsbehandling
DF1523	Afhængighedssyndrom ved brug af andet centralstimulerende stof men afholdende under aversiv medikamentel behandling
DF1524	Afhængighedssyndrom ved brug af andet centralstimulerende stof aktivt brugende
DF1525	Afhængighedssyndrom ved brug af andet centralstimulerende stof med kontinuerligt brug
DF1526	Afhængighedssyndrom ved brug af andet centralstimulerende stof med episodisk brug
DF153	Abstinenstilstand forårsaget af brug af andet centralstimulerende stof
DF1530	Abstinenstilstand forårsaget af brug af andre centralstimulerende stoffer uden kramper
DF1531	Abstinenstilstand forårsaget af brug af andre centralstimulerende stoffer med kramper
DF155	Psykotisk tilstand ved brug af andet centralstimulerende stof
DF1550	Skizofrenilignende psykotisk tilstand ved brug af andet centralstimulerende stof
DF1551	Paranoid psykotisk tilstand ved brug af andet centralstimulerende stof
DF1552	Hallucinatorisk psykotisk tilstand ved brug af andet centralstimulerende stof
DF1553	Polymorf psykotisk tilstand ved brug af andet centralstimulerende stof
DF1554	Psykotisk tilstand med depressive symptomer ved brug af andet centralstimulerende stof
DF1555	Psykotisk tilstand med maniske symptomer ved brug af andet centralstimulerende stof
DF1556	Blandet psykotisk tilstand ved brug af andet centralstimulerende stof
DF157	Sen psykotisk eller residual tilstand forårsaget af brug af andet centralstimulerende stof
DF1570	Flashbacks forårsaget af brug af andet centralstimulerende stof
DF1571	Personligheds- eller adfærdsforstyrrelse forårsaget af brug af andet centralstimulerende stof
DF1572	Residual affektiv sindslidelse forårsaget af brug af andet centralstimulerende stof
DF1573	Demens forårsaget af brug af andet centralstimulerende stof
DF1574	Anden vedvarende kognitiv forstyrrelse forårsaget af brug af andet centralstimulerende stof
DF1575	Sent indsættende psykotisk tilstand forårsaget af brug af andet centralstimulerende stof
DF158	Anden psykisk lidelse eller adfærdsforstyrrelse forårsaget af brug af andet centralstimulerende stof
DF159	Psykisk lidelse eller adfærdsforstyrrelse forårsaget af brug af andet centralstimulerende stof UNS
DF16	Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af hallucinogener
DF160	Akut hallucinogenintoksikation
DF1600	Akut ukompliceret hallucinogenintoksikation
DF1601	Akut hallucinogenintoksikation med fysisk traume
DF1602	Akut hallucinogenintoksikation med andre somatiske komplikationer
DF1603	Akut hallucinogenintoksikation med delir
DF1604	Akut hallucinogenintoksikation med perceptionsforvrængninger
DF1605	Akut hallucinogenintoksikation med koma
DF1606	Akut hallucinogenintoksikation med kramper
DF161	Skadelig brug af hallucinogen
DF162	Afhængighedssyndrom ved brug af hallucinogen
DF1620	Afhængighedssyndrom ved brug af hallucinogen men afholdende
DF1621	Afhængighedssyndrom ved brug af hallucinogen men afholdende i beskyttet miljø
DF1622	Afhængighedssyndrom ved brug af hallucinogen i vedligeholdelses- eller substitutionsbehandling
DF1623	Afhængighedssyndrom ved brug af hallucinogen men afholdende under aversiv medikamentel behandling
DF1624	Afhængighedssyndrom ved brug af hallucinogen aktivt brugende
DF1625	Afhængighedssyndrom ved brug af hallucinogen med kontinuerligt brug
DF1626	Afhængighedssyndrom ved brug af hallucinogen med episodisk brug
DF165	Hallucinogenpsykose
DF1650	Skizofrenilignende hallucinogenpsykose
DF1651	Paranoid hallucinogenpsykose
DF1652	Hallucinatorisk hallucinogenpsykose
DF1653	Polymorf hallucinogenpsykose
DF1654	Hallucinogenpsykose med depressive symptomer
DF1655	Hallucinogenpsykose med maniske symptomer
DF1656	Hallucinogenpsykose med blandede symptomer
DF167	Sen psykotisk eller residual tilstand forårsaget af hallucinogenbrug
DF1670	Flashbacks som følge af hallucinogenbrug
DF1671	Personligheds- eller adfærdsforstyrrelse forårsaget af hallucinogenbrug
DF1672	Residual affektiv sindslidelse som følge af hallucinogenbrug
DF1673	Demens som følge af hallucinogenbrug
DF1674	Anden vedvarende kognitiv forstyrrelse som følge af hallucinogenbrug
DF1675	Sent indsættende psykotisk tilstand som følge af hallucinogenbrug
DF168	Anden psykisk lidelse eller adfærdsforstyrrelse forårsaget af hallucinogenbrug
DF169	Psykisk lidelse eller adfærdsforstyrrelse forårsaget af hallucinogenbrug UNS
DF17	Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af tobak
DF170	Akut tobaksintoksikation
DF1700	Akut ukompliceret tobaksintoksikation
DF1701	Akut tobaksintoksikation med fysisk traume
DF1702	Akut tobaksintoksikation med andre somatiske komplikationer
DF1703	Akut tobaksintoksikation med delir
DF1704	Akut tobaksintoksikation med perceptionsforvrængninger
DF1705	Akut tobaksintoksikation med koma
DF1706	Akut tobaksintoksikation med kramper
DF171	Skadelig brug af tobak
DF172	Afhængighedssyndrom ved brug af tobak
DF1720	Afhængighedssyndrom ved brug af tobak men afholdende
DF1721	Afhængighedssyndrom ved brug af tobak men afholdende i beskyttet miljø
DF1722	Afhængighedssyndrom ved brug af tobak i vedligeholdelses- eller substitutionsbehandling
DF1723	Afhængighedssyndrom ved brug af tobak men afholdende under aversiv medikamentel behandling
DF1724	Afhængighedssyndrom ved brug af tobak aktivt brugende
DF1725	Afhængighedssyndrom ved brug af tobak med kontinuerligt brug
DF1726	Afhængighedssyndrom ved brug af tobak med episodisk brug
DF178	Anden psykisk lidelse eller adfærdsforstyrrelse forårsaget af tobaksbrug
DF179	Psykisk lidelse eller adfærdsforstyrrelse forårsaget af tobaksbrug UNS
DF18	Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af flygtige opløsningsmidler
DF180	Akut intoksikation med flygtigt opløsningsmiddel
DF1800	Akut ukompliceret intoksikation med flygtige opløsningsmidler
DF1801	Akut intoksikation med flygtige opløsningsmidler med fysisk traume
DF1802	Akut intoksikation med flygtige opløsningsmidler med andre somatiske komplikationer
DF1803	Akut intoksikation med flygtige opløsningsmidler med delir
DF1804	Akut intoksikation med flygtige opløsningsmidler med perceptionsforvrængninger
DF1805	Akut intoksikation med flygtige opløsningsmidler med koma
DF1806	Akut intoksikation med flygtige opløsningsmidler med kramper
DF181	Skadelig brug af flygtigt opløsningsmiddel
DF182	Afhængighedssyndrom ved brug af flygtigt opløsningsmiddel
DF1820	Afhængighedssyndrom ved brug af flygtige opløsningsmidler men afholdende
DF1821	Afhængighedssyndrom ved brug af flygtige opløsningsmidler men afholdende i beskyttet miljø
DF1822	Afhængighedssyndrom ved brug af flygtige opløsningsmidler i vedligeholdelses- eller substitutionsbehandling
DF1823	Afhængighedssyndrom ved brug af flygtige opløsningsmidler men afholdende under aversiv medikamentel behandling
DF1824	Afhængighedssyndrom ved brug af flygtige opløsningsmidler aktivt brugende
DF1825	Afhængighedssyndrom ved brug af flygtige opløsningsmidler med kontinuerligt brug
DF1826	Afhængighedssyndrom ved brug af flygtige opløsningsmidler med episodisk brug
DF185	Psykotisk tilstand ved brug af flygtige opløsningsmidler
DF1850	Skizofrenilignende psykotisk tilstand ved brug af flygtige opløsningsmidler
DF1851	Paranoid psykotisk tilstand ved brug af flygtige opløsningsmidler
DF1852	Hallucinatorisk psykotisk tilstand ved brug af flygtige opløsningsmidler
DF1853	Polymorf psykotisk tilstand ved brug af flygtige opløsningsmidler
DF1854	Psykotisk tilstand med depressive symptomer ved brug af flygtige opløsningsmidler
DF1855	Psykotisk tilstand med maniske symptomer ved brug af flygtige opløsningsmidler
DF1856	Blandet psykotisk tilstand ved brug af flygtige opløsningsmidler
DF186	Amnestisk syndrom som følge af brug af flygtige opløsningsmidler
