SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
17;"011900";5;Dyrkning af andre etårige afgrøder;Branchen omfatter dyrkning af foderafgrøder, helsæd, roefrø og frø fra foderplanter samt dyrkning og fremstilling af blomster, snitblomster, blomsterknopper og blomsterfrø.;"Dyrkning af alle andre etårige afgrøder:
- Dyrkning af fodermajs, helsæd, kløver, lucerne og andre græsser til foder
- Dyrkning af fodersukkerroer, kålroer, kålrabier, fodermarkkål og andre rodfrugter
til foder
- Dyrkning af roefrø (bortset fra sukkerroefrø) og frø fra foderplanter
- Dyrkning af blomster
- Fremstilling af snitblomster og blomsterknopper
- Dyrkning af blomsterfrø";;Dyrkning af etårige krydderiplanter, aromaplanter og lægeplanter, jf.<ref>01.28.00</ref>;;
18;"01.2";3;Dyrkning af flerårige afgrøder;Denne gruppe omfatter dyrkning af flerårige afgrøder, dvs. planter, som varer i mere end to vækstsæsoner og enten dør efter hver sæson og vokser frem igen eller vokser konstant. Undergruppen omfatter dyrkning af disse planter med henblik på produktion af frø og sædekorn.;;;;;
19;"01.21";4;Dyrkning af druer;;;;;;
20;"012100";5;Dyrkning af druer;Branchen omfatter dyrkning af druer, herunder presningsdruer samt spisedruer i vingårde. Fremstilling af vin henvises til 11.02.00;Dyrkning af presningsdruer og spisedruer i vingårde;;- Fremstilling af vin, jf.<ref>11.02.00</ref>;;
21;"01.22";4;Dyrkning af tropiske og subtropiske frugter;;;;;;
22;"012200";5;Dyrkning af tropiske og subtropiske frugter;Branchen omfatter dyrkning af tropiske og subtropiske frugter, som fx avocado, ananas, bananer, dadler og figner, mango og papaja.;"Dyrkning af tropiske og subtropiske frugter:
- Avocadoer
- Ananas
- Bananer og pisangbananer
- Dadler
- Figner
- Mangofrugter
- Papajafrugter
- Andre tropiske og subtropiske frugter";;;;
23;"01.23";4;Dyrkning af citrusfrugter;;;;;;
24;"012300";5;Dyrkning af citrusfrugter;Branchen omfatter dyrkning af citrusfrugter, som fx grapefrugt, citron, lime, pompelmus, appelsiner, tangeriner mm.;"Dyrkning af citrusfrugter:
- Grapefrugt og pompelmus
- Citroner og limefrugter
- Appelsiner
- Tangeriner, mandariner og klementiner
- Andre citrusfrugter";;;;
25;"01.24";4;Dyrkning af kernefrugter og stenfrugter;;;;;;
26;"012400";5;Dyrkning af kernefrugter og stenfrugter;Branchen omfatter dyrkning af frugter med sten eller kerner, som fx æbler, pærer, kvæder, abrikoser, kirsebær, ferskner, blommer og slåen.;"Dyrkning af kernefrugter og stenfrugter:
- Æbler
- Abrikoser
- Kirsebær og surkirsebær
- Ferskner og nektariner
- Pærer og kvæder
- Blommer og slåen
- Andre kernefrugter og stenfrugter";;;;
27;"01.25";4;Dyrkning af andre træfrugter, bær og nødder;;;;;;
28;"012500";5;Dyrkning af andre træfrugter, bær og nødder;Branchen omfatter dyrkning af bær og nødder, som fx blåbær, ribs og solbær, stikkelsbær, hindbær og jordbær og kiwifrugter. Branchen omfatter også dyrkning af frugtfrø samt dyrkning af spiselige nødder, bortset fra kokosnødder, som henvises til 01.26.00;"Dyrkning af bær:
- Blåbær
- Ribs og solbær
- Stikkelsbær
- Kiwifrugter
- Hindbær
- Jordbær
- Andre bær
Dyrkning af frugtfrø
Dyrkning af spiselige nødder:
- Mandler
- Cashewnødder
- Kastanjer
- Hasselnødder
- Pistacienødder
- Valnødder
- Andre nødder
Dyrkning af andre træfrugter og bær";;Dyrkning af kokosnødder, jf.<ref>01.26.00</ref>;;
29;"01.26";4;Dyrkning af olieholdige frugter;;;;;;
30;"012600";5;Dyrkning af olieholdige frugter;Branchen omfatter dyrkning af olieholdige frugter, som fx kokosnødder, oliven og olieplanter. Branchen omfatter ikke dyrkning af sojabønner, jordnødder og andre olieholdige frø.;"Dyrkning af olieholdige frugter:
- Kokosnødder
- Oliven
- Oliepalmer
- Andre olieholdige frugter";;Dyrkning af sojabønner, jordnødder og andre olieholdige frø, jf.<ref>01.11.00</ref>;;
31;"01.27";4;Dyrkning af planter til fremstilling af drikkevarer;;;;;;
32;"012700";5;Dyrkning af planter til fremstilling af drikkevarer;Branchen omfatter dyrkning af planter til fremstilling af drikkevarer, som fx kaffe, te, mate, kakao.;"Dyrkning af planter til fremstilling af drikkevarer:
- Kaffe
- Te
- Mate
- Kakao
- Andre planter til fremstilling af drikkevarer";;;;
33;"01.28";4;Dyrkning af krydderiplanter, aromaplanter og lægeplanter;;;;;;
34;"012800";5;Dyrkning af krydderiplanter, aromaplanter og lægeplanter;Branchen omfatter dyrkning af krydderiplanter, aromaplanter og lægeplanter, som fx peber, chilipeber, muskatnødder, anis og kartemomme, kanel, ingefær, vanilje og humle.;"Dyrkning af flerårige og etårige krydderiplanter og aromaplanter:
- Peber (piper sop.)
- Chilipebere og peberfrugter (capsicum sop.)
- Muskatnødder, muskatblommer og kardemomme
- Anisfrø, stjerneanis og fennikel
- Kanel
- Kryddernelliker
- Ingefær
- Vanilje
- Humle
- Andre krydderiplanter og aromaplanter
Dyrkning af lægeplanter og narkotikaplanter
Dyrkning af planter, der primært anvendes til parfume, farmakologi eller som insektdræbende eller svampedræbende midler eller til lignende formål";;;;
35;"01.29";4;Dyrkning af andre flerårige afgrøder;;;;;;
36;"012900";5;Dyrkning af andre flerårige afgrøder;Branchen omfatter dyrkning af fx juletræer, træer til udvinding af plantesaft og plantemateriale til brug for fletning. Branchen omfatter også dyrkning af gummitræer til udvinding af latex.;"- Dyrkning af gummitræer til udvinding af latex
- Dyrkning af juletræer
- Dyrkning af træer til udvinding af plantesaft
- Dyrkning af plantemateriale til brug ved fletning";;"- Udvinding af plantesaft fra træer eller gummilignende gummier i naturen, jf.<ref>02.30.00</ref>
- Indsamling af blomster, dyrkning af snitblomster, samt dyrkning af blomsterfrø, jf.<ref>01.19.00</ref>";;
37;"01.3";3;Planteformering;Denne gruppe omfatter fremstilling af alle vegetative plantematerialer, herunder stiklinger, rod- og sideskud samt kimplanter til direkte planteformering eller til fremstilling af grundstammer til forædling med henblik på podning til eventuel udplantning til fremstilling af afgrøder.;;;;;
38;"01.30";4;Planteformering;;;;;;
39;"013000";5;Planteformering;Branchen omfatter fremstilling af stiklinger, rodskud, sideskud og kimplanter til direkte planteformering eller med henblik på podning til eventuel udplantning.;"- Planteskoler
- Dyrkning af planter til udplantning
- Dyrkning af prydplanter, herunder græs til udlægning
- Dyrkning af planter til fremstilling af løg, rodknolde og rødder, stiklinger og aflæggere, svampemycelium til formering
- Drift af træplanteskoler, bortset fra forstplanteskoler";;"- Drift af forstplanteskoler, jf.<ref>02.10.00</ref>
- Drift af havecentre, jf.<ref>47.76.20</ref>
- Dyrkning af frø, jf.<ref>01.1</ref>. og<ref>01.2</ref>";;
40;"01.4";3;Husdyravl;"Denne gruppe omfatter opdræt og avl af alle dyr, bortset fra vandlevende dyr.
Denne gruppe omfatter ikke opstaldning og pasning af husdyr, jf. <ref>01.62.00</ref> og produktion af huder og skind af dyr, som slagtes på slagterier, jf.<ref>10.11.90</ref>.";;;;;
41;"01.41";4;Avl af malkekvæg;;;;;;
42;"014100";5;Avl af malkekvæg;Branchen omfatter opdræt og avl af malkekvæg. Forarbejdning af mælk henvises til 10.51.00;"- Opdræt og avl af malkekvæg
- Fremstilling af rå mælk fra køer og bøfler";;- Forarbejdning af mælk, jf.<ref>10.51.00</ref>;;
43;"01.42";4;Avl af andet kvæg og bøfler;;;;;;
44;"014200";5;Avl af andet kvæg og bøfler;Branchen omfatter opdræt og avl af andet kvæg og bøfler til kødproduktion samt fremstilling af tyresæd. Avl af malkekvæg henvises til 01.41.00;"- Opdræt og avl af kvæg og bøfler til kødproduktion
- Fremstilling af tyresæd";;;;
45;"01.43";4;Avl af heste og dyr af hestefamilien;;;;;;
46;"014300";5;Avl af heste og dyr af hestefamilien;Branchen omfatter opdræt og avl af heste og dyr af hestefamilien som fx æsler, muldyr og mulæsler. Drift af stalde for væddeløbsheste og rideskoler henvises til 93.19.00;- Opdræt og avl af heste, æsler, muldyr og mulæsler;;- Drift af stalde for væddeløbsheste og rideskoler, jf.<ref>93.19.00</ref>;;
47;"01.44";4;Avl af kameler og dyr af kamelfamilien;;;;;;
48;"014400";5;Avl af kameler og dyr af kamelfamilien;Branchen omfatter opdræt og avl af kameler og dyr af kamelfamilien, som fx dromedarer.;- Opdræt og avl af kameler (dromedarer) og dyr af kamelfamilien;;;;
49;"01.45";4;Avl af får og geder;;;;;;
50;"014500";5;Avl af får og geder;Branchen omfatter opdræt og avl af får og geder, herunder også fremstilling af rå fåremælk og gedemælk samt råuld. Klipning af får mod betaling henvises til 01.62.00. Fremstilling af opkradset uld henvises til 10.11.90 og forarbejdning af mælk henvises til 10.51.00;"- Opdræt og avl af får og geder
- Fremstilling af rå fåre- og gedemælk
- Fremstilling af råuld";;"- Klipning af får på honorar- eller på kontraktbasis, jf.<ref>01.62.00</ref>
- Fremstilling af opkradset uld, jf.<ref>10.11.90</ref>
- Forarbejdning af mælk, jf.<ref>10.51.00</ref>";;
51;"01.46";4;Svineavl;;;;;;
52;"014610";5;Avl af smågrise;Branchen omfatter produktion og avl af smågrise.;;;;;
53;"014620";5;Produktion af slagtesvin;Branchen omfatter produktion af slagtesvin.;;;;;
54;"01.47";4;Fjerkræavl;;;;;;
55;"014700";5;Fjerkræavl;Branchen omfatter opdræt og avl af fjerkræ, herunder slagtekyllinger, høns, kalkuner, ænder, gæs og perlehøns. Branchen omfatter også ægproduktion og drift af fjerkrærugerier, men fremstilling af fjer og dun henvises til 10.12.00;"Opdræt og avl af fjerkræ:
- Slagtekyllinger, høns, kalkuner, ænder, gæs og perlehøns
Ægproduktion
Drift af fjerkrærugerier";;- Fremstilling af fjer og dun, jf.<ref>10.12.00</ref>;;
56;"01.49";4;Avl af andre dyr;;;;;;
57;"014910";5;Kenneler;Branchen omfatter kun opdræt af hunde. Virksomheder, der passer hunde for hundenes ejere, henvises til 96.09.00 Andre personlige serviceydelser i.a.n. Virksomheder, der træner vagthunde henvises til 74.90.90 Andre liberale, videnskabelige og tekniske tjenesteydelser i.a.n;- Opdræt af hunde;;"- Pasning af hunde, jf.<ref>96.09.00</ref>
- Dressur af vagthunde, jf.<ref>74.90.90</ref>";;
58;"014920";5;Avl af pelsdyr mv.;Branchen omfatter opdræt af levende dyr og insekter, som fx mink, kaniner, strudse, emuer, insekter, biavl, orme- eller sneglefarme, samt opdræt af kæledyr (bortset fra hunde og fisk). Udover opdræt omfatter branchen også fremstilling af ubehandlede pelsskind, krybdyr- eller fugleskind fra opdrættede dyr. Branchen omfatter ikke opdræt af husdyr, som fx heste, køer og grise.;"Opdræt og avl af andre levende dyr:
- Strudse og emuer
- Andre fugle
- Insekter
- Mink
- Kaniner og andre pelsdyr
Fremstilling af rå pelsskind, krybdyr- eller fugleskind fra opdrættede dyr
Drift af ormefarme, landbaserede bløddyrfarme, sneglefarme mv.
Opdræt af silkeorme, fremstilling af silkeormekokoner
Biavl og fremstilling af honning og bivoks
Opdræt og avl af kæledyr (bortset fra hunde og fisk):
- Katte
- Fugle, fx parakitter mv.
- Hamstere mv.
Opdræt af forskellige dyr";;"- Produktion af huder og skind af dyr fra jagt og fældefangst, jf.<ref>01.70.00</ref>
- Drift af frøfarme, krokodillefarme, havbaserede ormefarme, jf.<ref>03.21.00</ref>,<ref>03.22.00</ref>
- Dambrugsdrift, jf.<ref>03.21.00</ref>,<ref>03.22.00</ref>
- Opstaldning og dressur af kæledyr, jf.<ref>96.09.00</ref>
- Opdræt af fjerkræ, jf.<ref>01.47.00</ref>";;
59;"01.5";3;Blandet drift;;;;;;
60;"01.50";4;Blandet drift;;;;;;
61;"015000";5;Blandet drift;Branchen omfatter kombineret produktion af afgrøder og dyr, hvor hverken produktion af afgrøder eller dyr er klart dominerende i indtjeningen.;- Kombineret produktion af afgrøder og dyr uden en specialiseret produktion af afgrøder eller dyr. Landbrugsbedriftens generelle størrelse er ikke en afgørende faktor. Hvis enten produktion af afgrøder eller dyr i en givet bedrift overskrider 66 % af standarddækningsbidraget, skal den kombinerede aktivitet ikke medtages her, men klassificeres under dyrkning af afgrøder eller opdræt og avl af dyr;;"- Dyrkning af blandede afgrøder, jf. gruppe <ref>01.1</ref> og <ref>01.2</ref>
- Blandet husdyravl, jf. gruppe <ref>01.4</ref>";;
62;"01.6";3;Serviceydelser til landbrug og forarbejdning af afgrøder efter høst;Denne gruppe omfatter aktiviteter i forbindelse med landbrugsproduktion og landbrugslignende aktiviteter, som ikke udføres med henblik på produktion (forstået som høst af landbrugsprodukter), og som udføres på honorar- eller på kontraktbasis. Gruppen omfatter også forarbejdning af afgrøder efter høst med henblik på afsætning af landbrugsprodukter på det primære marked.;;;;;
63;"01.61";4;Serviceydelser i forbindelse med planteavl;;;;;;
64;"016100";5;Serviceydelser i forbindelse med planteavl;Branchen omfatter serviceydelser (på honorar- eller kontraktbasis), som fx sprøjtning af afgrøder, beskæring af frugttræer, høst, halmpresning, frugtpakning, landbrugsmaskinstationer mv. Udlejning af landbrugsmaskiner med betjeningspersonale er også omfattet.;"Serviceydelser i forbindelse med planteavl
Landbrugsaktiviteter på honorar- eller på kontraktbasis:
- Forberedelse af marker
- Etablering af afgrøder
- Behandling af afgrøder
- Sprøjtning af afgrøder, herunder fra luften
- Udbringning af husdyrgødning
- Beskæring af frugttræer og vinplanter
- Omplantning af ris, udtynding af roer
- Høst
- Skadedyrsbekæmpelse (herunder kaniner) inden for landbruget
Vedligeholdelse af landbrugsjord i god landbrugsmæssig og økologisk stand
Halmpresning
Frugtpakning
Drift af kunstvandingsudstyr
Landbrugsmaskinstationer";- Udlejning af landbrugsmaskiner med betjeningspersonale;"- Forarbejdning af afgrøder efter høst, jf. <ref>01.63.00</ref>
- Dræning af landbrugsarealer, jf.<ref>43.12.00</ref>
- Landskabsarkitektur, jf.<ref>71.11.00</ref>
- Agronomers og landbrugsøkonomers virksomhed, jf.<ref>74.90.10</ref>
- Havearkitektur, beplantning, jf.<ref>81.30.00</ref>
- Afholdelse af landbrugsudstillinger og -messer, jf.<ref>82.30.00</ref>";;
65;"01.62";4;Serviceydelser i forbindelse med husdyravl;;;;;;
66;"016200";5;Serviceydelser i forbindelse med husdyravl;Branchen omfatter beslagsmede, fåreklippere, kvægdrivere samt virksomheder, der beskæftiger sig med opstaldning og pasning af husdyr (ikke kæledyr), men ikke virksomheder, der beskæftiger sig med udlejning af husdyr eller staldplads uden pasning.;"Serviceydelser i forbindelse med husdyravl
Landbrugsaktiviteter på honorar- eller på kontraktbasis:
- Aktiviteter til fremme af formering, vækst og udbytte af husdyr
- Serviceydelser til prøvning af hjorde, serviceydelser til kvægdrivning, serviceydelser til græsning, kastrering af fjerkræ, rengøring af hønsehuse mv.
- Aktiviteter i forbindelse med kunstig insemination
- Serviceydelser til bedækning
- Klipning af får
- Opstaldning og pasning af husdyr";- Beslagsmedes virksomhed;"- Udlejning af plads udelukkende til opstaldning af husdyr, jf.<ref>68.20</ref>
- Dyrlægevirksomhed, jf.<ref>75.00.00</ref>
- Vaccination af husdyr, jf.<ref>75.00.00</ref>
- Udlejning af husdyr (fx hjorde), jf.<ref>77.39.00</ref>
- Opstaldning af kæledyr, jf.<ref>96.09.00</ref>";;
67;"01.63";4;Forarbejdning af afgrøder efter høst;;;;;;
68;"016300";5;Forarbejdning af afgrøder efter høst;Branchen omfatter serviceydelser (på honorar- eller kontraktbasis), som fx rensning, afpudsning, sortering, sol- eller lufttørring mv.;"- Forarbejdning af afgrøder med henblik på afsætning på de primære markeder, dvs. rensning, afpudsning, sortering, desinficering, tørring, voksning, pudsning
- Bomuldsegrenering
- Forarbejdning af tobaksblade, fx tørring
- Forarbejdning af kakaobønner, fx afskalning
- Voksning af frugt";;"- Producentens forarbejdning af landbrugsprodukter, jf. tilsvarende undergrupper i gruppe<ref>01.1</ref>,<ref>01.2</ref>eller<ref>01.3</ref>
- Stripning og gentørring af tobak, jf.<ref>12.00.00</ref>
- Markedsføringsaktiviteter fra kommissionærer og andelsselskaber, jf. hovedgruppe<ref>46</ref>
- Engrossalg af landbrugsråvarer, jf.<ref>46.2</ref>
- Aktiviteter efter høst der har til formål at forbedre kvaliteten af frø, jf.<ref>01.64.00</ref>";;
69;"01.64";4;Forarbejdning af frø/sædekorn til udsæd;;;;;;
70;"016400";5;Forarbejdning af frø/sædekorn til udsæd;Branchen omfatter serviceydelser (på honorar- eller kontraktbasis) i forbindelse med forarbejdning af frø og sædekorn til udsæd;- Alle aktiviteter efter høst, der har til formål at forbedre kvaliteten af frø og sædekorn ved at fjerne materiale, som ikke er frø eller sædekorn, som for eksempel for små, mekanisk- eller insektbeskadigede, eller umodne frø og sædekorn, eller reducere fugten fra frø og sædekorn til et niveau, der tillader sikker opbevaring. Disse aktiviteter omfatter tørring, rensning, sortering og behandling af frø og sædekorn indtil markedsføring.;"- Behandling af genetisk modificerede frø og sædekorn
- Industriel fremstilling og forædling af frø";"- Dyrkning af frø og sædekorn, jf. gruppe<ref>01.1</ref>og<ref>01.2</ref>
- Forarbejdning af frø med henblik på fremstilling af olie, jf.<ref>10.41.00</ref>
- Forskning i udvikling eller ændring af nye typer af frø og sædekorn, jf.<ref>72.11.00</ref>";;
71;"01.7";3;Jagt, fældefangst og serviceydelser i forbindelse hermed;;;;;;
72;"01.70";4;Jagt, fældefangst og serviceydelser i forbindelse hermed;;;;;;
73;"017000";5;Jagt, fældefangst og serviceydelser i forbindelse hermed;Branchen omfatter jagt og fældefangst på kommerciel basis samt fangst af dyr med henblik på produktion af fødevarer og pelsværk eller til anvendelse inden for forskning, i zoologiske haver eller som kæledyr. Branchen omfatter også fremstilling af rå skind og landbaseret fangst af havpattedyr som hvalrosser og sæler samt serviceydelser til jagt og fældefangst.;"- Jagt og fældefangst på kommerciel basis
- Fangst af dyr (døde eller levende) med henblik på produktion af fødevarer, pelsværk, skind eller anvendelse inden for forskning, i zoologiske haver eller som kæledyr
- Serviceydelser i forbindelse med jagt og fældefangst
- Fremstilling af rå pelsskind, krybdyr- eller fugleskind fra jagt eller fældefangst";- Landbaseret fangst af havpattedyr som hvalrosser og sæler;"- Fremstilling af pelsskind, krybdyr- eller fugleskind fra opdrættede dyr, jf. gruppe 01.4- Opdræt af vildtdyr på farme, jf.<ref>01.49.20</ref>
- Hvalfangst, jf.<ref>03.11.00</ref>
- Produktion af huder og skind af dyr, som slagtes på slagterier, jf.<ref>10.11.90</ref>
- Jagt som sport eller fritidsinteresse og serviceydelser i forbindelse hermed, jf.<ref>93.19.00</ref>
- Aktiviteter til fremme af jagt og fældefangst, jf.<ref>94.99.00</ref>";;
74;"02";2;Skovbrug og skovning;Denne hovedgruppe omfatter produktion af rundtømmer samt udnyttelse og indsamling af vildtvoksende forstmateriale undtagen træer. Ud over tømmer produceres produkter, som kun forarbejdes i ringe grad, fx træ til brænde, trækul, træflis og rundtømmer anvendt i ubehandlet form (fx minetømmer, træ til papirfremstilling mv.). Disse aktiviteter kan udføres i naturlige eller beplantede skove. Hovedgruppen omfatter ikke yderligere forarbejdning af træ fra og med udsavning og høvling af træ, jf. hovedgruppe <ref>16</ref>.;;;;;
75;"02.1";3;Dyrkning af træer og andre skovbrugsaktiviteter;;;;;;
76;"02.10";4;Dyrkning af træer og andre skovbrugsaktiviteter;;;;;;
77;"021000";5;Dyrkning af træer og andre skovbrugsaktiviteter;Branchen omfatter bl.a. dyrkning af træer (bortset fra juletræer) på rod, træer til papir og energiproduktion, samt virksomheder, der drives af forstplanteskoler. Branchen omfatter ikke fældning af træer eller fremstilling af flis.;"- Dyrkning af træer på rod: beplantning, genplantning, omplantning, udtynding og bevarelse af skove og træbevoksninger
- Dyrkning af lavskov, træ til papirfremstilling og træ til brænde
- Drift af forstplanteskoler
Disse aktiviteter kan udføres i naturlige eller beplantede skove";;"- Dyrkning af juletræer, jf.<ref>01.29.00</ref>
- Drift af træplanteskoler, bortset fra forstplanteskoler, jf.<ref>01.30.00</ref>
- Indsamling af svampe og andet vildtvoksende forstmateriale undtagen træer, jf.<ref>02.30.00</ref>
- Fremstilling af træflis og træspåner, jf.<ref>16.10.00</ref>";;
78;"02.2";3;Skovning;;;;;;
79;"02.20";4;Skovning;;;;;;
80;"022000";5;Skovning;Branchen omfatter fremstilling af rundtømmer, indsamling og fremstilling af træ og træhugningsaffald til energi samt fremstilling af trækul i skoven.;"- Skovning
- Fremstilling af rundtømmer til skovbaserede produktionsindustrier
- Fremstilling af rundtømmer, som anvendes i ubehandlet form, fx som minetømmer, hegnspæle og trafikpæle
- Indsamling og fremstilling af træ til energi
- Indsamling og fremstilling af træhugningsaffald til energi
- Fremstilling af trækul i skoven (med traditionelle metoder)
Udbyttet fra denne aktivitet kan være tømmerstokke, træflis eller træ til brænde";;"- Dyrkning af juletræer, jf.<ref>01.29.00</ref>
- Dyrkning af træer på rod: beplantning, genplantning, omplantning, udtynding og bevarelse af skove og træbevoksninger, jf.<ref>02.10.00</ref>
- Indsamling af vildtvoksende forstmateriale undtagen træer, jf.<ref>02.30.00</ref>
- Fremstilling af træflis og træspåner i forbindelse med forarbejdning af træ, jf.<ref>16.10.00</ref>
- Fremstilling af trækul ved trædestillation, jf.<ref>20.14.00</ref>";;
81;"02.3";3;Indsamling af vildtvoksende forstmateriale undtagen træer;;;;;;
82;"02.30";4;Indsamling af vildtvoksende forstmateriale undtagen træer;;;;;;
